friendly_name,wikipedia_url,wikipedia_views,category,year,difficulty
Treaty of Breda,https://en.wikipedia.org/wiki/Treaty_of_Breda,291,diplomatic,1667,very-hard
Treaty of Madrid,https://en.wikipedia.org/wiki/Treaty_of_Madrid,1231,diplomatic,1526,very-hard
Great Boston Fire,https://en.wikipedia.org/wiki/Great_Boston_Fire_of_1760,1931,disasters,1760,very-hard
Irish Forgotten Famine,https://en.wikipedia.org/wiki/Irish_food_shortages_(1925),2327,disasters,1740,very-hard
Nepal-Bihar Earthquake,https://en.wikipedia.org/wiki/1934_Nepal–Bihar_earthquake,2862,disasters,1934,very-hard
First Kindergarten Opens,https://en.wikipedia.org/wiki/First_Kindergarten,2918,cultural,1837,very-hard
Tonghai Earthquake,https://en.wikipedia.org/wiki/1970_Tonghai_earthquake,3684,disasters,1970,very-hard
Calabria Earthquakes,https://en.wikipedia.org/wiki/1905_Calabria_earthquake,3752,disasters,1783,very-hard
Ladoga Canal Completed,https://en.wikipedia.org/wiki/Ladoga_Canal,4020,infrastructure,1730,very-hard
Ansei Great Earthquakes,https://en.wikipedia.org/wiki/Ansei_great_earthquakes,4137,disasters,1855,very-hard
Plague of Sheroe,https://en.wikipedia.org/wiki/Plague_of_Sheroe,5808,disasters,627,very-hard
Valparaiso Earthquake,https://en.wikipedia.org/wiki/1906_Valparaíso_earthquake,5857,disasters,1906,very-hard
Japan Launches Ohsumi,https://en.wikipedia.org/wiki/Ohsumi_(satellite),6294,exploration,1970,very-hard
Lex Hortensia,https://en.wikipedia.org/wiki/Lex_Hortensia,6526,diplomatic,-287,very-hard
Knickerbocker Storm,https://en.wikipedia.org/wiki/Knickerbocker_storm,6624,disasters,1922,very-hard
Joule's Law,https://en.wikipedia.org/wiki/Joule_effect,6947,exploration,1843,very-hard
Operation Chopper Vietnam,https://en.wikipedia.org/wiki/Operation_Chopper_(Vietnam),7009,conflict,1962,very-hard
Treaty of Aachen,https://en.wikipedia.org/wiki/Aachen_Treaty,7314,diplomatic,812,very-hard
Penny Post Introduced,https://en.wikipedia.org/wiki/Penny_Post,8194,exploration,1840,very-hard
Persian Famine,https://en.wikipedia.org/wiki/Persian_famine_of_1870–1872,8344,disasters,1917,very-hard
Damghan Earthquake,https://en.wikipedia.org/wiki/856_Damghan_earthquake,8509,disasters,856,very-hard
Georgetown-IBM Machine Translation,https://en.wikipedia.org/wiki/Georgetown–IBM_experiment,9012,exploration,1954,very-hard
Treaty of Apamea,https://en.wikipedia.org/wiki/Treaty_of_Apamea,10218,diplomatic,-188,very-hard
Doji Bara Famine,https://en.wikipedia.org/wiki/Doji_bara_famine,10938,disasters,1791,very-hard
Treaty of Rastatt,https://en.wikipedia.org/wiki/Treaty_of_Rastatt,11943,diplomatic,1714,very-hard
Treaty of London (Anglo-Spanish),https://en.wikipedia.org/wiki/Treaty_of_London_(1604),12024,diplomatic,1604,very-hard
Joelma Building Fire,https://en.wikipedia.org/wiki/Joelma_Building_fire,12703,disasters,1974,very-hard
Aleppo Earthquake,https://en.wikipedia.org/wiki/1138_Aleppo_earthquake,12939,disasters,1138,very-hard
Florence Baptistery Door Competition,https://en.wikipedia.org/wiki/North_Doors_of_the_Florence_Baptistery,13344,cultural,1401,very-hard
Orissa Famine,https://en.wikipedia.org/wiki/Orissa_famine_of_1866,13462,disasters,1866,very-hard
Mount Unzen Disaster,https://en.wikipedia.org/wiki/1792_Unzen_landslide_and_tsunami,13533,disasters,1792,very-hard
Finnish Famine,https://en.wikipedia.org/wiki/Finnish_famine_of_1866–1868,13750,disasters,1866,very-hard
Chalisa Famine,https://en.wikipedia.org/wiki/Chalisa_famine,13982,disasters,1783,very-hard
Treaty of Nijmegen,https://en.wikipedia.org/wiki/Treaties_of_Nijmegen,14504,diplomatic,1678,very-hard
Chola Dynasty Naval Expansion,https://en.wikipedia.org/wiki/Chola_Navy,14639,cultural,1000,very-hard
First Secession of the Plebs,https://en.wikipedia.org/wiki/First_secessio_plebis,14662,diplomatic,-494,very-hard
Treaty of Wedmore,https://en.wikipedia.org/wiki/Treaty_of_Wedmore,16212,diplomatic,878,very-hard
Trans-Arabian Pipeline Completed,https://en.wikipedia.org/wiki/Trans-Arabian_Pipeline,16586,infrastructure,1950,very-hard
Russian Time of Troubles Famine,https://en.wikipedia.org/wiki/Russian_famine_of_1601–1603,16898,disasters,1601,very-hard
AT&T Building Completed,https://en.wikipedia.org/wiki/AT&T_Building_(Indianapolis),17737,infrastructure,1984,very-hard
Algeciras Conference,https://en.wikipedia.org/wiki/Algeciras_Conference,18828,diplomatic,1906,very-hard
Quetta Earthquake,https://en.wikipedia.org/wiki/1935_Quetta_earthquake,19047,disasters,1935,very-hard
Union of Krewo,https://en.wikipedia.org/wiki/Union_of_Krewo,19355,diplomatic,1385,very-hard
Caliphate of Córdoba Falls,https://en.wikipedia.org/wiki/Timeline_of_the_Muslim_presence_in_the_Iberian_Peninsula,19780,cultural,1031,very-hard
Treaty of Saint-Clair-sur-Epte,https://en.wikipedia.org/wiki/Treaty_of_Saint-Clair-sur-Epte,21197,diplomatic,911,very-hard
Imperial Russian Famine,https://en.wikipedia.org/wiki/Russian_famine_of_1891–1892,21311,disasters,1891,very-hard
Ashgabat Earthquake,https://en.wikipedia.org/wiki/1948_Ashgabat_earthquake,23182,disasters,1948,very-hard
Putney Debates,https://en.wikipedia.org/wiki/Putney_Debates,23470,diplomatic,1647,very-hard
Mount Tarawera Eruption,https://en.wikipedia.org/wiki/1886_eruption_of_Mount_Tarawera,23499,disasters,1886,very-hard
Treaty of Pereyaslav,https://en.wikipedia.org/wiki/Pereiaslav_Agreement,25814,diplomatic,1654,very-hard
Nansen's Fram Expedition,https://en.wikipedia.org/wiki/Nansen's_Fram_expedition,26190,exploration,1893,very-hard
Hatepe Eruption,https://en.wikipedia.org/wiki/Hatepe_eruption,27357,disasters,180,very-hard
Geneva Summit,https://en.wikipedia.org/wiki/Geneva_Summit_(1985),28119,exploration,1955,very-hard
Treaty of Ryswick,https://en.wikipedia.org/wiki/Peace_of_Ryswick,28185,diplomatic,1697,very-hard
