event_name,research_prompt,image_prompt,image_generated,saved_filename
archean-eon-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Archean Eon Begins"" (4031000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Archean Eon Begins — The Archean Eon began as Earth's first stable continents formed and the earliest microbial life emerged. A barren basalt landscape under a hazy orange sky, the first dark continents rising from a steaming primordial sea pocked by volcanoes. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,archean-eon-begins.png
first-photosynthetic-bacteria,"Search the web for reference artworks, scientific reconstructions, and records of ""First Photosynthetic Bacteria"" (3400000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Photosynthetic Bacteria — Cyanobacteria began performing photosynthesis, slowly producing the oxygen that would transform the atmosphere. Mounded green-and-blue cyanobacterial stromatolites in a shallow lagoon, faint oxygen bubbles rising toward a hazy primeval sky. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-photosynthetic-bacteria.png
proterozoic-eon-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Proterozoic Eon Begins"" (2500000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Proterozoic Eon Begins — The Proterozoic Eon began, an age dominated by early single-celled organisms and rising atmospheric oxygen. A quiet shallow sea of layered microbial mats under a thin blue sky, the first faint clouds drifting over barren reddish coastlines. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,proterozoic-eon-begins.png
great-oxidation-event,"Search the web for reference artworks, scientific reconstructions, and records of ""Great Oxidation Event"" (2400000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Great Oxidation Event — Free oxygen from photosynthesis accumulated in the atmosphere, reshaping the planet's chemistry and biology. A primordial ocean releasing rising columns of oxygen bubbles, rust-red iron staining the shallows under a hazy early sky. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,great-oxidation-event.png
first-complex-cells,"Search the web for reference artworks, scientific reconstructions, and records of ""First Complex Cells"" (1800000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Complex Cells — Eukaryotes, the first cells with a nucleus and internal structures, appeared as a major step in life's evolution. A single luminous eukaryotic cell magnified in dark water, its nucleus and curling internal structures glowing softly against the gloom. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-complex-cells.png
first-animals-sponges,"Search the web for reference artworks, scientific reconstructions, and records of ""First Animals (Sponges)"" (800000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Animals (Sponges) — The earliest animals, simple sponge-like organisms, emerged in the oceans as the first multicellular animal life. Delicate vase-shaped sponges anchored to a dim ancient seafloor, filtering water as faint particles drift through cold blue-green murk. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-animals-sponges.png
snowball-earth-cryogenian,"Search the web for reference artworks, scientific reconstructions, and records of ""Snowball Earth (Cryogenian)"" (720000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Snowball Earth (Cryogenian) — During the Cryogenian Period, global glaciation covered much of Earth's surface in ice in a deep freeze. An entire frozen planet sheathed in cracked white ice, jagged glaciers meeting a dark frozen sea under a pale frigid sun. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,snowball-earth-cryogenian.png
ediacaran-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Ediacaran Period Begins"" (635000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Ediacaran Period Begins — The Ediacaran Period began, producing the first large, complex multicellular organisms in the fossil record. Strange frond-like and disc-shaped soft-bodied Ediacaran creatures rooted to a quiet seafloor, swaying in gentle currents of dim water. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,ediacaran-period-begins.png
cambrian-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Cambrian Period Begins"" (538800000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Cambrian Period Begins — The Cambrian Explosion saw a rapid diversification of animal life, producing most major modern groups. A teeming shallow seafloor of trilobites and strange soft-bodied creatures, anomalocaris gliding above in turquoise water. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,cambrian-period-begins.png
first-fish,"Search the web for reference artworks, scientific reconstructions, and records of ""First Fish"" (525000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Fish — The earliest fish appeared as the first vertebrates, the ancestors of all backboned animals. A small jawless armored fish darting over a Cambrian seabed, its sleek finless body weaving among waving algae and trilobites. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-fish.png
ordovician-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Ordovician Period Begins"" (486850000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Ordovician Period Begins — The Ordovician Period began, marked by the rapid diversification of marine vertebrates and invertebrates. A vibrant warm sea crowded with coiled nautiloids, branching corals, and trilobites drifting above a reef in clear sunlit water. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,ordovician-period-begins.png
first-land-plants,"Search the web for reference artworks, scientific reconstructions, and records of ""First Land Plants"" (470000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Land Plants — Early plants colonized dry land for the first time, beginning the greening of the continents. Tiny green moss-like plants spreading across damp bare rock at a stream's edge, the first fragile greening of an empty stony shore. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-land-plants.png
silurian-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Silurian Period Begins"" (443800000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Silurian Period Begins — The Silurian Period began as life increasingly expanded from the oceans onto land. Low primitive plants creeping up a muddy coastline as a giant sea scorpion glides through the shallows beyond the new green fringe. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,silurian-period-begins.png
devonian-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Devonian Period Begins"" (419200000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Devonian Period Begins — The Devonian Period, known as the Age of Fishes, began with an abundance and diversity of marine life. A sunlit reef teeming with diverse fish, armored placoderms cruising past corals as the first ferns cluster on a distant shore. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,devonian-period-begins.png
first-insects,"Search the web for reference artworks, scientific reconstructions, and records of ""First Insects"" (400000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Insects — The earliest insects appeared on land, becoming one of the most successful animal groups in history. A primitive wingless insect perched on a dewy fern frond, antennae raised, magnified amid a damp prehistoric undergrowth of mosses. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-insects.png
first-amphibians-tiktaalik,"Search the web for reference artworks, scientific reconstructions, and records of ""First Amphibians (Tiktaalik)"" (375000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Amphibians (Tiktaalik) — Transitional vertebrates such as Tiktaalik crawled from water onto land, foreshadowing amphibians. Tiktaalik, a flat-headed fish with stubby limb-like fins, hauling itself onto a muddy Devonian bank from shallow tannin-dark water. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-amphibians-tiktaalik.png
carboniferous-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Carboniferous Period Begins"" (358900000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Carboniferous Period Begins — The Carboniferous Period began, with vast coal-forming forests and unusually large insects. A dense steamy swamp forest of towering scale-tree trunks and giant ferns, a meter-wide dragonfly gliding through humid green gloom. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,carboniferous-period-begins.png
first-reptiles,"Search the web for reference artworks, scientific reconstructions, and records of ""First Reptiles"" (320000000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Reptiles — The first reptiles emerged as the earliest vertebrates fully adapted to live on dry land. A small lizard-like reptile basking on a fallen log in a Carboniferous forest, its scaly body distinct against the leafy clutter. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,first-reptiles.png
permian-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Permian Period Begins"" (298900000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Permian Period Begins — The Permian Period began as Earth's landmasses joined together to form the supercontinent Pangaea. A vast arid red desert stretching to the horizon, a sail-backed Dimetrodon silhouetted against the dunes of supercontinent Pangaea. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,permian-period-begins.png
triassic-period-begins,"Search the web for reference artworks, scientific reconstructions, and records of ""Triassic Period Begins"" (251902000 BCE). Study the landscape, organisms, climate, and natural environment of this period.","A dramatic oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Triassic Period Begins — The Triassic Period began in the wake of mass extinction, giving rise to the first dinosaurs and mammals. A sparse recovering desert dotted with hardy cycads, a slender early dinosaur striding across cracked earth under a pale dry sun. warm ochres, earth browns, firelight oranges painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",x,triassic-period-begins.png
