event_name,event_title,approximate_year,region,category,sources
aboriginal-australian,Aboriginal Australian Culture Established,-10000,Oceania/Pacific,cultural,gap_analysis
aboriginal-firestick-farming,Aboriginal Firestick Farming Ecosystem Management,5000 BC,Australia,agricultural,r2_africa_pacific
aboriginal-australian-culture,Aboriginal Australian Culture and Songlines,-4000,Pacific,culture,non_western
potato-domestication-america,Potato Domesticated in Americas,-3000,Peru,agricultural,consequence_chain
caral-civilization,Caral Civilization in Peru Valleys,-3000,South America,archaeological,non_western
aboriginal-dreamtime-traditions,Aboriginal Dreamtime Spiritual Traditions,-3000,Pacific,religion,non_western
pottery-wheel,Potter's Wheel,-3000,Mesopotamia,food/agriculture,historical_firsts
aboriginal-dreaming-stories,Aboriginal Dreaming Stories Spiritual System,3000 BC,Australia,religious,r2_africa_pacific
female-ruler-sargon,Enmersi of Kish,-2295,Mesopotamia,social,historical_firsts
indus-valley-civilization,Indus Valley Civilization Peak,-2200,South Asia,cultural,gap_analysis
punt-trade-egypt,Punt Trading Partners with Ancient Egypt,-2000,Africa,trade,non_western
aboriginal-rock-art,Aboriginal Rock Art Traditions,-2000,Pacific,art,non_western
aboriginal-boomerang-hunting,Aboriginal Boomerang Hunting Innovation,-2000,Pacific,technology,non_western
aboriginal-songlines-mapping,Aboriginal Songlines Map Australian Continent,2000 BC,Australia,cultural,r2_africa_pacific
aboriginal-uluru-site,Uluru Sacred Site in Aboriginal Culture,2000 BC,Australia,religious,r2_africa_pacific
lapita-culture-expansion,Lapita Culture Spreads Through Melanesia,1200 BC,Melanesia,cultural,r2_africa_pacific
lapita-pottery-trade,Lapita Pottery Indicates Long-Distance Trade,1000 BC,Melanesia,economic,r2_africa_pacific
samoa-settlement-polynesia,Samoa Settlement as Polynesian Expansion Hub,1000 BC,Polynesia,exploration,r2_africa_pacific
aboriginal-didgeridoo-ceremonial,Didgeridoo Used in Aboriginal Ceremonies,1000 BC,Australia,cultural,r2_africa_pacific
ovid-metamorphoses,Ovid Writes Metamorphoses,8,Roman Empire,literary,r2_cultural
livy-ab-urbe-condita,Livy's Ab Urbe Condita Written,25,Italy,artistic,chronology
virgil-aeneid-composition,Virgil Composes the Aeneid,25,Roman Empire,literary,r2_cultural
pontius-pilate-judea,Pontius Pilate Governs Judea,26,Judea,political,r2_antiquity
roman-census,Roman Census System,27,Roman Empire,governance,historical_firsts
augustan-age-begins,Augustan Age of Roman Literature Begins,27,Roman Empire,cultural,r2_antiquity
romanization-britain,Roman Conquest of Britain,43,Britain,military,r2_antiquity
paul-apostle-missions,Apostle Paul's Missionary Journeys,45,Mediterranean,religious,chronology
cleopatra-caesar-alliance,Cleopatra Allies with Julius Caesar,48,Egypt,political,r2_antiquity
council-of-jerusalem,Council of Jerusalem Addresses Jewish Law,49,Mediterranean,religious,r2_antiquity
teotihuacan-pyramid-founded,Pyramid of the Sun Begun,50,Mesoamerica,architectural,r2_korea_americas
cleopatra-vii-reign,Cleopatra VII Rules Egypt,51,Egypt,political,r2_antiquity
first-aqueduct,Aqua Claudia,52,Roman Empire,infrastructure,historical_firsts
vercingetorix-gallic-revolt,Vercingetorix Leads Gallic Revolt,52,Gaul,military,r2_antiquity
thomas-apostle-india,Apostle Thomas Reaches India,52,South Asia,religious,r2_antiquity
julius-caesar-conquest-gaul,Julius Caesar Conquers Gaul,58,Europe,military,r2_antiquity
pompey-great-rome,Pompey the Great Commands Rome,61,Roman Empire,political,r2_antiquity
nero-great-fire,Great Fire of Rome,64,Italy,disaster,chronology
first-treaty,Treaty of Apamea,64,Roman Empire,law,historical_firsts
first-pharmacopoeia,De Materia Medica,65,Roman Empire,medicine,historical_firsts
lucan-pharsalia,Lucan Writes Pharsalia,65,Roman Empire,literary,r2_cultural
colosseum-architecture-ancient,Colosseum Rome Constructed,70,Italy,architectural,chronology
siege-of-jerusalem-70ce,Siege of Jerusalem by Titus,70,Judea,military,r2_antiquity
vespasian-colosseum-begun,Vespasian Begins Colosseum,72,Italy,architectural,chronology
masada-siege-defense,Siege of Masada,73,Judea,military,r2_antiquity
pliny-natural-history,Pliny's Natural History Published,77,Italy,scientific,chronology
first-encyclopedia,Pliny-Natural-History,77,Roman Empire,communication,historical_firsts
agricola-britain-conquest,Agricola's Conquest of Britain,78,Britain,military,chronology
eruption-mount-vesuvius,Mount Vesuvius Erupts - Pompeii Destroyed,79,Italy,disaster,r2_antiquity
colosseum-rome,Roman Colosseum,80,Roman Empire,infrastructure,historical_firsts
silk-trade-begins,Silk Trade Begins,100,Asia,economic,chronology
tacitus-histories-written,Tacitus' Histories Written,100,Italy,artistic,chronology
parthian-empire,Parthian Empire Peak,100,Central Asia,political,"gap_analysis, non_western"
silk-road-major-routes,Major Silk Road Trade Routes Established,100,Central Asia,trade,non_western
aksumite-empire-rise,Aksumite Empire Becomes Regional Power,100,Africa,political,non_western
nazca-culture,Nazca Culture Desert Lines Created,100,South America,art,non_western
nabataean-trade-routes,Nabataean Kingdom Controls Arab Trade Routes,100,Middle East,trade,non_western
nabataean-petra-city,Petra Built as Nabataean Capital,100,Middle East,architecture,non_western
bactria-silk-road,Bactria Kingdom Major Silk Road Hub,100,Central Asia,trade,non_western
kushana-empire,Kushana Empire Unites Indus to Central Asia,100,South Asia,political,non_western
aqueduct-pont-garros,Pont Garros Aqueduct,100,France,infrastructure,historical_firsts
court-system,Roman Judicial System,100,Roman Empire,law,historical_firsts
contract-law,Roman Contract Law,100,Roman Empire,law,historical_firsts
bantu-expansion-africa,Bantu Migration Across Africa,100,Africa,social,r2_antiquity
ancestral-puebloan-development,Ancestral Puebloan Culture Develops,100,North America,cultural,r2_antiquity
hopewell-trade-networks,Hopewell Culture Trade Networks Expand,100,North America,economic,r2_antiquity
red-sea-trade-network,Red Sea Trade Network Flourishes,100,Middle East,economic,r2_antiquity
baltic-amber-routes,Baltic Amber Trade Routes Develop,100,Europe,economic,r2_antiquity
petra-nabataean-trade,Petra Controls Arabian Trade Routes,100,Middle East,economic,r2_antiquity
ephesus-roman-commerce,Ephesus Becomes Major Roman Trade Center,100,Mediterranean,economic,r2_antiquity
roman-fresco-paintings,Roman Fresco Painting Tradition,100,Roman Empire,artistic,r2_cultural
roman-horse-breeding,Roman Horse Breeding Standardization,100,Roman Empire,agricultural,r2_paradigm_shifts
paper-invention-china,Paper Invention in China,105,China,invention,chronology
han-tributary-system,Han Dynasty Tributary System Established,120,East Asia,political,non_western
han-civil-service,Han Dynasty Civil Service Examinations Begin,120,East Asia,political,non_western
hadrian-wall-construction,Hadrian's Wall Built,122,Britain,architectural,r2_antiquity
pantheon-rome-built,Pantheon Built in Rome,126,Italy,architectural,chronology
silk-road-established,Silk Road Trade Established,130,Central Asia,economic,gap_analysis
jewish-diaspora-expansion,Jewish Diaspora Expands Throughout Mediterranean,135,Mediterranean,social,r2_antiquity
hipparcus-astronomy,Hipparchus Develops Mathematical Astronomy,140,Greece,scientific,r2_antiquity
kushan-empire,Kushan Empire Peak,150,Central Asia,political,gap_analysis
kushana-buddhism,Kushana Empire Spreads Buddhism Eastward,150,South Asia,religion,non_western
