name,friendly_name,year,category,difficulty,description
emperor-decius-orders-everyone-in-the-roman-empire,Emperor Decius orders everyone in the Roman Empire (except,250,diplomatic,hard,Emperor Decius orders everyone in the Roman Empire (except Jews) to make sacrifices to the Roman gods.
pope-fabian-is-martyred-during-the-decian-persecut,Pope Fabian is martyred during the Decian persecution.,250,cultural,hard,Pope Fabian is martyred during the Decian persecution.
vetranio-proclaims-himself-caesar-after-being-enco,Vetranio proclaims himself Caesar after being encouraged to,350,cultural,hard,"Vetranio proclaims himself Caesar after being encouraged to do so by Constantina, sister of Constantius II."
the-roman-usurper-nepotianus-of-the-constantinian,"The Roman usurper Nepotianus, of the Constantinian dynasty,",350,diplomatic,hard,"The Roman usurper Nepotianus, of the Constantinian dynasty, proclaims himself Roman emperor, entering Rome at the head of a group of gladiators."
vetranio-meets-constantius-ii-at-naissus-serbia,Vetranio meets Constantius II at Naissus (Serbia) and is,350,cultural,hard,Vetranio meets Constantius II at Naissus (Serbia) and is forced to abdicate his imperial title. Constantius allows him to live as a private citizen on a state pension.
gothic-war-the-ostrogoths-under-king-totila-con,"Gothic War: The Ostrogoths, under King Totila, conquer Rome",550,conflict,medium,"Gothic War: The Ostrogoths, under King Totila, conquer Rome after a long siege, by bribing the Isaurian garrison."
in-the-battle-of-the-zab-the-abbasid-rebels-defea,"In the Battle of the Zab, the Abbasid rebels defeat the",750,conflict,medium,"In the Battle of the Zab, the Abbasid rebels defeat the Umayyad Caliphate, leading to the overthrow of the dynasty."
a-council-is-convened-in-the-vatican-at-which-cha,"A council is convened in the Vatican, at which Charlemagne",800,cultural,medium,"A council is convened in the Vatican, at which Charlemagne is to judge the accusations against Pope Leo III."
the-coronation-of-charlemagne-as-holy-roman-empero,"The coronation of Charlemagne as Holy Roman Emperor, in",800,diplomatic,medium,"The coronation of Charlemagne as Holy Roman Emperor, in Rome."
the-laguna-copperplate-inscription-the-earliest-k,The Laguna Copperplate Inscription (the earliest known,900,conflict,medium,"The Laguna Copperplate Inscription (the earliest known written document found in what is now the Philippines): the Commander-in-Chief of the Kingdom of Tondo, as represented by the Honourable Jayadewa, Lord Minister of Pailah, pardons from all debt the Honourable Namwaran and his relations."
count-reginar-i-of-hainault-rises-against-zwentibo,Count Reginar I of Hainault rises against Zwentibold of,900,cultural,medium,Count Reginar I of Hainault rises against Zwentibold of Lotharingia and slays him near present-day Susteren.
fatimid-caliph-al-hakim-bi-amr-allah-assassinates,Fatimid caliph al-Hakim bi-Amr Allah assassinates the,1000,diplomatic,medium,Fatimid caliph al-Hakim bi-Amr Allah assassinates the eunuch chief minister Barjawan and assumes control of the government.
battle-of-svolder-viking-age,"Battle of Svolder, Viking Age.",1000,conflict,medium,"Battle of Svolder, Viking Age."
the-foundation-of-the-kingdom-of-hungary-hungary,The foundation of the Kingdom of Hungary: Hungary is,1000,diplomatic,medium,The foundation of the Kingdom of Hungary: Hungary is established as a Christian kingdom by Stephen I of Hungary.
constantine-viii-becomes-sole-emperor-of-the-byzan,Constantine VIII becomes sole emperor of the Byzantine,1025,diplomatic,medium,"Constantine VIII becomes sole emperor of the Byzantine Empire, 63 years after being crowned co-emperor."
coronation-of-mieszko-ii-lambert-as-king-of-poland,Coronation of Mieszko II Lambert as king of Poland.,1025,diplomatic,medium,Coronation of Mieszko II Lambert as king of Poland.
dmitar-zvonimir-is-crowned-king-of-croatia,Dmitar Zvonimir is crowned King of Croatia.,1075,diplomatic,medium,Dmitar Zvonimir is crowned King of Croatia.
henry-i-is-crowned-king-of-england-in-westminster,Henry I is crowned King of England in Westminster Abbey.,1100,diplomatic,medium,Henry I is crowned King of England in Westminster Abbey.
election-of-antipope-theodoric,Election of Antipope Theodoric.,1100,cultural,medium,Election of Antipope Theodoric.
baldwin-of-boulogne-is-crowned-the-first-king-of-j,Baldwin of Boulogne is crowned the first King of Jerusalem,1100,diplomatic,medium,Baldwin of Boulogne is crowned the first King of Jerusalem in the Church of the Nativity in Bethlehem.
king-john-of-england-and-king-philip-ii-of-france,King John of England and King Philip II of France sign the,1200,diplomatic,medium,King John of England and King Philip II of France sign the Treaty of Le Goulet.
isabella-of-angoulme-is-crowned-queen-consort-of,Isabella of Angoulême is crowned Queen consort of England.,1200,diplomatic,medium,Isabella of Angoulême is crowned Queen consort of England.
treaty-of-san-germano-is-signed-at-san-germano-bet,Treaty of San Germano is signed at San Germano between Holy,1225,diplomatic,medium,Treaty of San Germano is signed at San Germano between Holy Roman Emperor Frederick II and Pope Gregory IX. A Dominican named Guala is responsible for the negotiations.
the-l-dynasty-of-vietnam-ends-after-216-years-by,The Lý dynasty of Vietnam ends after 216 years by the,1225,diplomatic,medium,"The Lý dynasty of Vietnam ends after 216 years by the enthronement of the boy emperor Trần Thái Tông, husband of the last Lý monarch, Lý Chiêu Hoàng, starting the Trần dynasty."
seventh-crusade-crusaders-engage-ayyubid-forces-i,Seventh Crusade: Crusaders engage Ayyubid forces in the,1250,conflict,medium,Seventh Crusade: Crusaders engage Ayyubid forces in the Battle of Al Mansurah.
seventh-crusade-ayyubids-of-egypt-capture-king-lo,Seventh Crusade: Ayyubids of Egypt capture King Louis IX of,1250,conflict,medium,Seventh Crusade: Ayyubids of Egypt capture King Louis IX of France in the Battle of Fariskur.
traditional-founding-of-the-city-of-amsterdam,Traditional founding of the city of Amsterdam.,1275,infrastructure,medium,Traditional founding of the city of Amsterdam.
the-city-of-bilbao-is-founded,The city of Bilbao is founded.,1300,cultural,medium,The city of Bilbao is founded.
alfonso-iv-becomes-king-of-portugal,Alfonso IV becomes King of Portugal.,1325,diplomatic,medium,Alfonso IV becomes King of Portugal.
battle-of-winchelsea-or-les-espagnols-sur-mer-t,Battle of Winchelsea (or Les Espagnols sur Mer): The,1350,conflict,medium,Battle of Winchelsea (or Les Espagnols sur Mer): The English naval fleet under King Edward III defeats a Castilian fleet of 40 ships.
turko-mongol-emperor-timur-sacks-damascus,Turko-Mongol emperor Timur sacks Damascus.,1400,diplomatic,medium,Turko-Mongol emperor Timur sacks Damascus.
the-trn-dynasty-of-vietnam-is-deposed-after-one,"The Trần dynasty of Vietnam is deposed, after one hundred",1400,cultural,medium,"The Trần dynasty of Vietnam is deposed, after one hundred and seventy-five years of rule, by Hồ Quý Ly, a court official."
owain-glyndr-is-declared-prince-of-wales-by-his-f,Owain Glyndŵr is declared Prince of Wales by his followers.,1400,cultural,medium,Owain Glyndŵr is declared Prince of Wales by his followers.
king-minkhaung-i-becomes-king-of-ava,King Minkhaung I becomes king of Ava.,1400,diplomatic,medium,King Minkhaung I becomes king of Ava.
battle-of-formigny-toward-the-end-of-the-hundred,Battle of Formigny: Toward the end of the Hundred Years',1450,conflict,medium,"Battle of Formigny: Toward the end of the Hundred Years' War, the French attack and nearly annihilate English forces, ending English domination in Northern France."
kentishmen-revolt-against-king-henry-vi,Kentishmen revolt against King Henry VI.,1450,diplomatic,medium,Kentishmen revolt against King Henry VI.
abd-al-latif-timurid-monarch-is-assassinated,'Abd al-Latif (Timurid monarch) is assassinated.,1450,cultural,medium,'Abd al-Latif (Timurid monarch) is assassinated.
louis-ix-duke-of-bavaria-expels-jews-from-his-jur,"Louis IX, Duke of Bavaria expels Jews from his jurisdiction.",1450,cultural,medium,"Louis IX, Duke of Bavaria expels Jews from his jurisdiction."
stephen-iii-of-moldavia-defeats-the-ottoman-empire,Stephen III of Moldavia defeats the Ottoman Empire at the,1475,conflict,medium,Stephen III of Moldavia defeats the Ottoman Empire at the Battle of Vaslui.
the-treaty-of-picquigny-ends-a-brief-war-between,The Treaty of Picquigny ends a brief war between  the,1475,diplomatic,medium,The Treaty of Picquigny ends a brief war between  the kingdoms of France and England.
duke-friedrich-and-duke-johann-attempt-to-subdue-t,Duke Friedrich and Duke Johann attempt to subdue the,1500,conflict,medium,"Duke Friedrich and Duke Johann attempt to subdue the peasantry of Dithmarschen, Denmark, in the Battle of Hemmingstedt."
the-fleet-of-pedro-lvares-cabral-leaves-lisbon-fo,The fleet of Pedro Álvares Cabral leaves Lisbon for the,1500,diplomatic,medium,The fleet of Pedro Álvares Cabral leaves Lisbon for the Indies. The fleet will discover Brazil which lies within boundaries granted to Portugal in the Treaty of Tordesillas in 1494.
cesare-borgia-is-given-the-title-of-captain-genera,Cesare Borgia is given the title of Captain General and,1500,cultural,medium,Cesare Borgia is given the title of Captain General and Gonfalonier by his father Rodrigo Borgia after returning from his conquests in the Romagna.
ludovico-sforza-is-captured-by-swiss-troops-at-nov,Ludovico Sforza is captured by Swiss troops at Novara and,1500,conflict,medium,Ludovico Sforza is captured by Swiss troops at Novara and is handed over to the French.
portuguese-explorer-pedro-alvarez-cabral-reaches-n,Portuguese explorer Pedro Alvarez Cabral reaches new,1500,exploration,medium,Portuguese explorer Pedro Alvarez Cabral reaches new coastline (Brazil).
ottoman-venetian-war-1499-1503-the-ottomans-cap,Ottoman-Venetian War (1499-1503): The Ottomans capture,1500,conflict,medium,"Ottoman-Venetian War (1499-1503): The Ottomans capture Methoni, Messenia."
treaty-of-granada-louis-xii-of-france-and-ferdina,Treaty of Granada: Louis XII of France and Ferdinand II of,1500,diplomatic,medium,Treaty of Granada: Louis XII of France and Ferdinand II of Aragon agree to divide the Kingdom of Naples between them.
a-joint-venetian-spanish-fleet-captures-the-castle,A joint Venetian-Spanish fleet captures the Castle of St.,1500,cultural,medium,A joint Venetian-Spanish fleet captures the Castle of St. George on the island of Cephalonia.
the-prince-of-anhua-rebellion-begins-when-zhu-zhif,The Prince of Anhua rebellion begins when Zhu Zhifan kills,1510,conflict,medium,The Prince of Anhua rebellion begins when Zhu Zhifan kills all the officials invited to a banquet and declares his intent on ousting the powerful Ming dynasty eunuch Liu Jin during the reign of the Zhengde Emperor.
portuguese-conquest-of-goa-portuguese-naval-force,Portuguese conquest of Goa: Portuguese naval forces under,1510,diplomatic,medium,"Portuguese conquest of Goa: Portuguese naval forces under the command of Afonso de Albuquerque, and local mercenaries working for privateer Timoji, seize Goa from the Bijapur Sultanate, resulting in 451 years of Portuguese colonial rule."
sten-sture-the-younger-the-regent-of-sweden-is-m,"Sten Sture the Younger, the Regent of Sweden, is mortally",1520,conflict,medium,"Sten Sture the Younger, the Regent of Sweden, is mortally wounded at the Battle of Bogesund and dies on February 3."
the-revolt-of-the-comuneros-begins-in-spain-agains,The Revolt of the Comuneros begins in Spain against the,1520,cultural,medium,The Revolt of the Comuneros begins in Spain against the rule of Charles V.
hernando-cortes-defeats-panfilo-de-narvaez-sent-b,"Hernando Cortes defeats Panfilo de Narvaez, sent by Spain",1520,conflict,medium,"Hernando Cortes defeats Panfilo de Narvaez, sent by Spain to punish him for insubordination."
the-massacre-at-the-festival-of-txcatl-takes-plac,The massacre at the festival of Tóxcatl takes place during,1520,cultural,medium,"The massacre at the festival of Tóxcatl takes place during the Fall of Tenochtitlan, resulting in turning the Aztecs against the Spanish."
pope-leo-x-threatens-to-excommunicate-martin-luthe,Pope Leo X threatens to excommunicate Martin Luther in,1520,cultural,medium,Pope Leo X threatens to excommunicate Martin Luther in Exsurge Domine.
spanish-conquistadors-led-by-hernn-corts-fight-t,Spanish conquistadors led by Hernán Cortés fight their way,1520,cultural,medium,Spanish conquistadors led by Hernán Cortés fight their way out of Tenochtitlan after nightfall.
spanish-conquistadores-defeat-a-larger-aztec-army,Spanish conquistadores defeat a larger Aztec army at the,1520,conflict,medium,Spanish conquistadores defeat a larger Aztec army at the Battle of Otumba.
suleiman-the-magnificent-is-proclaimed-sultan-of-t,Suleiman the Magnificent is proclaimed sultan of the,1520,cultural,medium,Suleiman the Magnificent is proclaimed sultan of the Ottoman Empire.
ferdinand-magellan-discovers-a-strait-now-known-as,Ferdinand Magellan discovers a strait now known as the,1520,exploration,medium,Ferdinand Magellan discovers a strait now known as the Strait of Magellan.
joo-lvares-fagundes-discovers-the-islands-of-sai,João Álvares Fagundes discovers the islands of Saint Pierre,1520,exploration,medium,"João Álvares Fagundes discovers the islands of Saint Pierre and Miquelon, bestowing them their original name of ""Islands of the 11,000 Virgins""."
spanish-conquistadores-led-by-nuo-de-guzmn-ove,"Spanish conquistadores, led by Nuño de Guzmán, overthrow",1530,cultural,medium,"Spanish conquistadores, led by Nuño de Guzmán, overthrow and execute Tangaxuan II, the last independent monarch of the Tarascan state in present-day central Mexico."
at-the-diet-of-augsburg-the-augsburg-confession-is,At the Diet of Augsburg the Augsburg Confession is,1530,diplomatic,medium,At the Diet of Augsburg the Augsburg Confession is presented to the Holy Roman Emperor by the Lutheran princes and Electors of Germany.
