event_name,research_prompt,image_prompt,image_generated,saved_filename
eukaryotic-cell-evolution,"Search the web for reference artworks and historical records of ""First Eukaryotic Cells Evolve"" (1900000000 BCE). Study the microscopic cell biology illustration style, endosymbiosis, mitochondria engulfment, no humans or artifacts present of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Eukaryotic Cells Evolve — Cells with a nucleus and internal organelles arose, likely when one microbe engulfed another and both survived. A cutaway close-up of a translucent cell membrane with a smaller rod-shaped microbe caught mid-engulfment inside a larger cell, organelles floating in the cytoplasm. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
first-insects-appear,"Search the web for reference artworks and historical records of ""First Insects Appear"" (400000000 BCE). Study the Devonian-era landscape, wingless proto-insects such as Rhyniognatha, early land plants, no humans of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. First Insects Appear — Small wingless insects related to modern silverfish became among the first animals to live entirely on land. A small silverfish-like insect crawling across a mat of primitive moss beside a shallow freshwater pool, bare rock visible at the edge of the frame. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
homo-heidelbergensis-emerges,"Search the web for reference artworks and historical records of ""Homo Heidelbergensis Emerges"" (700000 BCE). Study the Homo heidelbergensis reconstruction, African savanna, early hominin anatomy and posture, no text of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Homo Heidelbergensis Emerges — A large brained hominin likely ancestral to both Neanderthals and modern humans appeared in Africa. A large browed hominin standing at the edge of open grassland at dusk, one hand resting on a wooden spear planted in the earth. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
oldest-wooden-hunting-spears,"Search the web for reference artworks and historical records of ""Oldest Wooden Spears Made"" (200000 BCE). Study the Schoningen spear finds, Lower Paleolithic hunting technology, European Ice Age setting, no gore of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Oldest Wooden Spears Made — Wooden hunting spears preserved in Germany show early hominins throwing weapons to kill horses. A hominin's hands carving and balancing a long wooden spear beside a riverbank, a coil of sinew and stone tools laid out on a hide nearby. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
trepanation-earliest-known,"Search the web for reference artworks and historical records of ""Earliest Known Trepanation"" (6500 BCE). Study the Neolithic tools, dress and firelit dwelling interiors of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Earliest Known Trepanation — Archaeologists found a skull with a hole deliberately cut into it that later healed, the oldest solid evidence of a patient surviving cranial surgery. A hand steadying a sharpened flint scraper against a patient's head by firelight, healed skull fragments and simple bindings laid out nearby. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
water-buffalo-domesticated,"Search the web for reference artworks and historical records of ""Water Buffalo Put to Work"" (4000 BCE). Study the Neolithic South and East Asian farming dress, early plowing implements and water buffalo anatomy of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Water Buffalo Put to Work — Farmers across South and East Asia tamed wild water buffalo for plowing fields and producing milk. A farmer guiding a yoked water buffalo through a flooded rice paddy, a wooden plow cutting the mud behind it. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
hierakonpolis-royal-menagerie,"Search the web for reference artworks and historical records of ""Egypt Keeps a Royal Menagerie"" (3600 BCE). Study the Predynastic Egyptian dress, mudbrick enclosures and the animals known from the Hierakonpolis elite burials of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Egypt Keeps a Royal Menagerie — Elite burials in southern Egypt reveal captive elephants, hippos, baboons and wildcats kept as a show of status. A keeper leading a leashed baboon and a caged wildcat past a mudbrick enclosure holding a young elephant. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
dromedary-camel-domesticated,"Search the web for reference artworks and historical records of ""Dromedary Camels Tamed"" (2900 BCE). Study the Bronze Age Arabian herder dress, rope halters and dromedary camel anatomy of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Dromedary Camels Tamed — Herders on the Arabian Peninsula domesticated the one humped camel for milk, meat and desert transport. A herder fitting a rope halter on a kneeling dromedary camel, milking bowls set nearby in a desert camp. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
lagash-girsu-canal-network,"Search the web for reference artworks and historical records of ""Lagash Digs the Girsu Canals"" (2900 BCE). Study the Early Dynastic Sumerian dress, digging tools and canal earthworks near Girsu of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Lagash Digs the Girsu Canals — The Sumerian city of Lagash expanded a web of irrigation canals around Girsu, a network later disputed fiercely with neighboring Umma. Laborers with wooden shovels and woven baskets deepening a canal bank, palm-frond markers staking its course through fields. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
walls-of-uruk-raised,"Search the web for reference artworks and historical records of ""Walls of Uruk Raised"" (2700 BCE). Study the Sumerian Uruk period mudbrick construction, dress and tools, circa 2700 BCE Mesopotamia of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Walls of Uruk Raised — Sumerian Uruk was ringed with a great defensive wall, later credited in legend to King Gilgamesh. Laborers hauling wet mudbricks up a ramp to a rising city wall, a foreman with a measuring cord checking the courses. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
sneferu-red-pyramid,"Search the web for reference artworks and historical records of ""Sneferu Builds the Red Pyramid"" (2600 BCE). Study the Old Kingdom Egyptian construction sites, limestone casing blocks and the reddish stone of the Dahshur pyramids of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Sneferu Builds the Red Pyramid — Pharaoh Sneferu completed the Red Pyramid at Dahshur, the first successful smooth sided true pyramid ever raised. Workers hauling a sled of reddish limestone blocks up a construction ramp, the smooth sloped pyramid rising behind them. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
red-pyramid-sneferu,"Search the web for reference artworks and historical records of ""Red Pyramid of Sneferu"" (2590 BCE). Study the Old Kingdom Egyptian stoneworking, the Red Pyramid's reddish limestone casing, and Fourth Dynasty construction tools of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Red Pyramid of Sneferu — Pharaoh Sneferu completed a smooth sided pyramid at Dahshur, briefly the tallest structure on Earth before his son's tomb surpassed it. Laborers hauling a limestone block up a ramp on ropes, the pyramid's smooth pink-tinged flank rising behind them under a desert sky. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
khufu-ship,"Search the web for reference artworks and historical records of ""The Khufu Ship"" (2560 BCE). Study the Old Kingdom Egyptian shipbuilding, the Khufu ship's cedar hull and boat pit at Giza of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. The Khufu Ship — Egyptian shipwrights buried a huge cedar vessel beside the Great Pyramid, its planks fitted together with mortise and tenon joints rather than nails. Shipwrights lashing and pegging long cedar planks together beside a hull under construction, the Great Pyramid rising in the background. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
menkaure-pyramid-giza,"Search the web for reference artworks and historical records of ""Menkaure's Pyramid at Giza"" (2510 BCE). Study the Fourth Dynasty stonemasonry at Giza, granite casing stones and the smaller scale of Menkaure's pyramid of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Menkaure's Pyramid at Giza — Pharaoh Menkaure completed the third and smallest pyramid at Giza, finishing the trio beside Khufu and Khafre's monuments. Masons fitting dark granite casing blocks to a pyramid's lower courses, the taller pyramids of Giza looming beyond. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
mohenjo-daro-covered-drains,"Search the web for reference artworks and historical records of ""Mohenjo-daro's Covered Drains"" (2450 BCE). Study the Indus Valley brickwork, Mohenjo-daro streets and drain construction of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Mohenjo-daro's Covered Drains — Builders in the Indus city of Mohenjo-daro laid brick lined covered drains and wells, an early planned sewage and water system. A worker fitting a fired brick cover over a street-side drain channel, a well shaft visible in the courtyard behind. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
enheduanna-first-author-hymns,"Search the web for reference artworks and historical records of ""Enheduanna Signs Her Hymns"" (2285 BCE). Study the Akkadian priestess dress, cuneiform tablets and temple interiors of ancient Ur of this period.","A dramatic chiaroscuro oil painting. 1:1 square composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast. Enheduanna Signs Her Hymns — Akkadian priestess Enheduanna composed temple hymns to the goddess Inanna, becoming history's first author known by name. A priestess's hands pressing a reed stylus into a wet clay tablet, more inscribed tablets stacked beside an oil lamp. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
