event_name,prompt,image_generated,saved_filename
hammurabi-alehouse-laws,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Hammurabi's Alehouse Laws — Babylonian statutes fixed what alehouse keepers could charge for beer and set penalties for short measures.. A document, seal, gavel or carved statute filling the frame, lit hard from one side. Weight and permanence over people. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
mesopotamian-glaze-cipher,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Enciphered Glaze Recipe — A Mesopotamian scribe disguised the cuneiform spellings in a pottery glaze formula, the earliest known cipher.. Hands and material at the moment of transformation. Extreme foreground detail of the process; the workshop reduced to warm shadow. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
nine-mens-morris-game,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Nine Men's Morris Boards Cut — Players scratched Nine Men's Morris grids into temple stone in Egypt, moving pieces to form rows of three.. Hands and material at the moment of transformation. Extreme foreground detail of the process; the workshop reduced to warm shadow. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
sphinx-cleared-from-sand,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Sphinx Freed From the Sand — A young Egyptian prince dug the Great Sphinx of Giza out of the drifted desert sand and recorded the deed on a stele.. The structure filling the frame from a dramatic low angle. One or two human figures for scale. Strong geometry and clean lines. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
cowrie-shell-money-china,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Cowrie Shells Become Money — Shang dynasty China used cowrie shells as a standard medium of exchange, among the earliest currencies known.. A single counter, ledger, scale or storefront, close in. The exchange itself as the subject, not a market crowd. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
turin-papyrus-map,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Turin Papyrus Mine Map — Egyptian scribes drew the quarry roads and rock types of Wadi Hammamat, the oldest surviving geological map.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
aegean-sponge-divers,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Aegean Sponge Divers — Greek islanders dived on a single breath, weighted by a flat stone, to cut sponges free of the seabed.. One vessel, cargo, camel or crate at the point of exchange, large in frame, with the route suggested rather than drawn. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
mancala-sowing-game,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Mancala Sowing Boards Appear — Rows of shallow pits cut into stone across Africa and the Near East mark the sowing game family called mancala.. Hands and material at the moment of transformation. Extreme foreground detail of the process; the workshop reduced to warm shadow. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
yan-shi-mechanical-man,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Yan Shi's Mechanical Man — Chinese texts credit the artificer Yan Shi with presenting King Mu of Zhou a life-size singing automaton.. The device itself, close and centred, shown as an object of craft. One pair of hands at most. Background dissolved to shadow. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
babylonian-hour-division,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Sexagesimal Hour Division — Babylonian astronomers applied their base-sixty numbering to time, splitting the hour into sixty minutes and each minute again.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
