badge_id,badge_name,family,tier,unlock_criteria,event_name,event_id,event_year,event_category,cloudinary_url,gemini_prompt
01,First Steps,Milestone,—,Play your 1st game,First Moon Landing,moon-landing,1969,exploration,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/moon-landing_olbhii?_a=BAMAMiiu0","Using the attached image of ""First Moon Landing"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick polished gold engraved rim. Inscribe the title ""First Steps"" in elegant serif capitals along the top arc and ""Play your 1st game"" along the bottom arc. Encircle the cameo with a ring of tiny embossed footprints and a sprinkle of stars to echo a first step into a new world. Add a small sky-blue enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
02,Regular,Milestone,Bronze,Play 10 games,First Olympic Games,first-olympics,-776,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/first-olympics_rlacqv?_a=BAMAMiiu0","Using the attached image of ""First Olympic Games"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick warm bronze engraved rim. Inscribe the title ""Regular"" in elegant serif capitals along the top arc and ""Play 10 games"" along the bottom arc. Wreath the rim with laurel leaves to signal a returning, regular competitor. Add a small olive-green enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
03,Dedicated,Milestone,Silver,Play 50 games,Statue of Liberty Dedicated,statue-liberty,1886,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/statue-liberty_hhl7wt?_a=BAMAMiiu0","Using the attached image of ""Statue of Liberty Dedicated"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick brushed silver engraved rim. Inscribe the title ""Dedicated"" in elegant serif capitals along the top arc and ""Play 50 games"" along the bottom arc. Add an engraved radiating-rays motif behind the cameo, evoking steadfast dedication. Add a small teal enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
04,Centurion,Milestone,Gold,Play 100 games,Colosseum Completed,colosseum-completed,80,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/colosseum-completed_synpwn?_a=BAMAMiiu0","Using the attached image of ""Colosseum Completed"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick rich gold engraved rim. Inscribe the title ""Centurion"" in elegant serif capitals along the top arc and ""Play 100 games"" along the bottom arc. Frame the cameo with a Roman-legion laurel and two crossed gladii; stamp a small 'C' (100) into the rim. Add a small crimson enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
05,Placer I,Volume,Bronze,Place 100 events correctly,Great Wall Construction Begins,great-wall-begins,-221,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/great-wall-begins_so9bxm?_a=BAMAMiiu0","Using the attached image of ""Great Wall Construction Begins"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick warm bronze engraved rim. Inscribe the title ""Placer I"" in elegant serif capitals along the top arc and ""Place 100 events correctly"" along the bottom arc. Texture the rim like stacked stone blocks to suggest a builder laying foundations. Add a small sand enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
06,Placer II,Volume,Silver,Place 500 events correctly,Great Pyramid of Giza Built,pyramids,-2560,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/pyramids_gqlrge?_a=BAMAMiiu0","Using the attached image of ""Great Pyramid of Giza Built"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick brushed silver engraved rim. Inscribe the title ""Placer II"" in elegant serif capitals along the top arc and ""Place 500 events correctly"" along the bottom arc. Texture the rim with cut-stone masonry and a faint pyramidal emboss behind the cameo. Add a small sand enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
07,Placer III,Volume,Gold,"Place 1,000 events correctly",Step Pyramid of Djoser Built,step-pyramid-djoser,-2650,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/step-pyramid-djoser_cucfih?_a=BAMAMiiu0","Using the attached image of ""Step Pyramid of Djoser Built"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick rich gold engraved rim. Inscribe the title ""Placer III"" in elegant serif capitals along the top arc and ""Place 1,000 events correctly"" along the bottom arc. Make the rim a grand tiered-stone motif, the cameo crowning a monumental build. Add a small sand enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
08,Polymath,Collection,Gold,Place an event in all 7 categories,Mona Lisa Painted,leonardo-mona-lisa,1503,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/leonardo-mona-lisa_rgz72q?_a=BAMAMiiu0","Using the attached image of ""Mona Lisa Painted"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick antique gold engraved rim. Inscribe the title ""Polymath"" in elegant serif capitals along the top arc and ""Place an event in all 7 categories"" along the bottom arc. Ring the cameo with seven small engraved discs (one per discipline) and faint da-Vinci-style sketch lines. Add a small deep-burgundy enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
09,Category Buff: Conflict,Collection,Steel,Place 5 Conflict events,Battle of Marathon,battle-marathon,-490,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/battle-marathon_soclqv?_a=BAMAMiiu0","Using the attached image of ""Battle of Marathon"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Conflict"" in elegant serif capitals along the top arc and ""Place 5 Conflict events"" along the bottom arc. Flank the cameo with two crossed spears and a small shield emblem for the Conflict category. Add a small oxblood-red enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
10,Category Buff: Cultural,Collection,Steel,Place 5 Cultural events,Gutenberg's Printing Press,printing-press-revolution,1440,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/printing-press-revolution_kaudvb?_a=BAMAMiiu0","Using the attached image of ""Gutenberg's Printing Press"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Cultural"" in elegant serif capitals along the top arc and ""Place 5 Cultural events"" along the bottom arc. Add an open-book and quill motif on the rim for the Cultural category. Add a small royal-purple enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
